Designator,Footprint,Quantity,Value,LCSC Part #
ANT300,ANTC3216X140N,1,2450AT18A100E,
BZ100,GL200A_BUZZER,1,Buzzer,
C101,C_0402_1005Metric,1,2n2,
C102,C_0402_1005Metric,1,1n,
"C103, C301, C302, C303, C304",C_0402_1005Metric,5,15u,
"C110, C120, C201, C203, C350, C418, C420, C450",C_0603_1608Metric,8,100n,
"C130, C140",C_0402_1005Metric,2,100n,
"C200, C202, C501",C_0603_1608Metric,3,1u,
"C300, C351, C401, C451",C_0402_1005Metric,4,1u,
"C306, C307, C406, C407",C_0402_1005Metric,4,C,
"C352, C452",C_0402_1005Metric,2,10u,
C410,C_0603_1608Metric,1,0p8,
"C411, C412",C_0603_1608Metric,2,1p2,
C413,C_0603_1608Metric,1,100p,
C414,C_0603_1608Metric,1,0p5,
"C415, C416",C_0402_1005Metric,2,10n,
C419,C_0603_1608Metric,1,470n,
"C502, C503",C_0603_1608Metric,2,4u7,
"C510, C511, C520, C521, C530, C531",C_0603_1608Metric,6,2u2,
"D130, D140",S1GHE,2,S1GHE,
"D500, D501",C_0402_1005Metric,2,LED,
J100,FH12A26S05SH55,1,FH12A-26S-0.5SH_55_,
J101,FH12-12S-0.5SH_55_,1,FH12-12S-0.5SH_55_,
"J102, J103",5003340160,2,500334-0160,
J104,692122030100,1,692122030100,
J105,533980667,1,53398-0667,
"J400, J410",u.fl,2,U.FL-R-SMT-1_40_,
"L300, L400",C_0402_1005Metric,2,L,
L411,C_0402_1005Metric,1,3n,
L412,C_0402_1005Metric,1,2n5,
L414,C_0805_2012Metric,1,15u,
M130,GL200A_HAPTIC_MOTOR,1,Motor_DC,
M140,SM02B-SURS-TF,1,Fan,
"Q130, Q140",SOT-23,2,ZXMN3B01F,
"Q200, Q201",UMH3NTN,2,UMH3NTN,
"R110, R120, R200",C_0402_1005Metric,3,4k7,
"R130, R140, R300, R401",C_0402_1005Metric,4,10k,
"R131, R141",C_0402_1005Metric,2,180,
"R301, R302, R303, R304",C_0402_1005Metric,4,2k2,
R305,C_0402_1005Metric,1,120k,
R306,C_0402_1005Metric,1,470k,
R501,C_0402_1005Metric,1,100k,
R502,C_0402_1005Metric,1,1k1,
R503,C_0402_1005Metric,1,590,
R504,C_0402_1005Metric,1,0,
R505,C_0402_1005Metric,1,36k5,
"R506, R507",C_0402_1005Metric,2,1k5,
R510,C_0402_1005Metric,1,0k,
"R511, R512",C_0201_0603Metric,2,0,
"S110, S120",SKRPABE010,2,SKRPABE010,
TP105,TestPoint_Pad_D1.0mm,1,BAT_WHITE,
TP300,TestPoint_Pad_D1.0mm,1,PUMATX_PU,
"TP301, TP401",TestPoint_Pad_D1.0mm,2,VDD_SDIO,
TP302,TestPoint_Pad_D1.0mm,1,CRSF,
TP400,TestPoint_Pad_D1.0mm,1,ELRS_CHIP_PU,
U200,QFN50P400X400X80-25N-D,1,CP2105-F01-GMR,
"U300, U400",ESP32-PICO-D4_1,2,ESP32-PICO-D4,
U402,E28-2G4M27S,1,E28-2G4M27S,
U410,QFN50P400X400X100-25N-D,1,SX1280,
U500,QFN50P300X300X100-17N-D,1,BQ24075RGTR,
"U510, U520, U530",SON40P120X120X60-7N-D,3,MIC5528-3.3YMT-T5,
Y410,NX2016SA32MEXS00ACS06465,1,NX2016SA-52MHZ-EXS00A-CS06016,
