Designator,Mid X,Mid Y,Rotation,Layer
ANT300,120.25,-85.65,180.0,bottom
BZ100,96.871573,-114.471573,-45.0,top
C101,157.22,-120.4,0.0,top
C102,160.92,-120.4,0.0,top
C103,159.08,-120.4,180.0,top
C110,103.8,-100.6,0.0,bottom
C120,187.5,-100.8,180.0,bottom
C130,193.15,-105.85,180.0,bottom
C140,188.73,-113.5,180.0,top
C200,119.45,-112.575,90.0,bottom
C201,118.15,-112.575,90.0,bottom
C202,116.65,-112.575,90.0,bottom
C203,115.975,-115.6,180.0,bottom
C300,127.8,-89.2,0.0,top
C301,129.1,-91.48,90.0,top
C302,129.1,-94.2,-90.0,top
C303,157.6,-119.7,-90.0,bottom
C304,160.6,-119.7,-90.0,bottom
C306,121.4,-90.2,180.0,bottom
C307,121.4,-87.4,180.0,bottom
C350,119.4,-90.1,90.0,bottom
C351,129.15,-95.85,-90.0,bottom
C352,123.3,-89.4,0.0,bottom
C401,156.1,-91.5,-90.0,bottom
C406,145.4,-89.9,180.0,bottom
C407,147.6,-88.6,90.0,bottom
C410,174.9,-98.1,180.0,bottom
C411,174.9,-95.6,180.0,bottom
C412,177.65,-94.4,90.0,bottom
C413,178.65,-94.7,0.0,bottom
C414,176.45,-93.95,0.0,bottom
C415,178.7,-99.25,0.0,bottom
C416,178.7,-100.15,0.0,bottom
C418,174.25,-105.5,-90.0,bottom
C419,172.8,-105.5,-90.0,bottom
C420,170.65,-101.55,180.0,bottom
C450,143.3,-90.5,90.0,bottom
C451,153.2,-95.6,-90.0,bottom
C452,148.4,-90.6,0.0,bottom
C501,173.2,-114.925,90.0,bottom
C502,176.075,-117.85,0.0,bottom
C503,176.225,-112.05,180.0,bottom
C510,137.4,-97.55,90.0,bottom
C511,133.4,-97.55,90.0,bottom
C520,133.4,-92.675,-90.0,bottom
C521,137.4,-92.65,-90.0,bottom
C530,160.25,-112.85,-90.0,bottom
C531,164.25,-112.85,-90.0,bottom
D130,192.691,-107.05,0.0,bottom
D140,188.25,-114.75,0.0,top
J100_2,104.2,-109.5,0.0,top
J100,104.2,-109.5,0.0,top
J101,159.7,-118.6,180.0,top
J102,85.05,-116.75,90.0,top
J103,207.05,-116.65,90.0,top
J104,145.95,-112.1,180.0,bottom
J105,184.25,-104.575,90.0,top
J400,181.4,-88.9,-90.0,top
J410,183.7,-94.7,-90.0,top
L300,121.7,-88.8,-90.0,bottom
L400,146.25,-88.95,180.0,bottom
L411,175.25,-96.85,90.0,bottom
L412,176.45,-94.7,0.0,bottom
L414,171.15,-103.85,90.0,bottom
M130,189.595,-108.895,0.0,bottom
M140,188.45,-117.05,0.0,top
Q130,197.1,-110.9,180.0,bottom
Q140,192.6875,-115.5,180.0,top
Q200,125.1,-118.5,180.0,bottom
Q201,125.1,-115.3,180.0,bottom
R101,123.13,-119.35,180.0,top
R102,123.13,-120.15,180.0,top
R110,103.8,-101.5,0.0,bottom
R120,187.5,-101.9,180.0,bottom
R130,200.2,-111.8,180.0,bottom
R131,200.2,-110.0,0.0,bottom
R140,192.75,-120.5,-90.0,top
R141,192.75,-118.52,-90.0,top
R200,120.55,-112.78,90.0,bottom
R300,127.8,-88.4,180.0,top
R301,129.8,-91.48,-90.0,top
R302,129.8,-94.3,90.0,top
R303,158.6,-119.7,90.0,bottom
R304,159.6,-119.7,90.0,bottom
R305,128.2,-100.55,90.0,top
R306,127.25,-100.55,-90.0,top
R401,155.1,-91.5,90.0,bottom
R410,170.5,-99.0,180.0,bottom
R411,170.5,-99.6,180.0,bottom
R412,170.5,-100.2,180.0,bottom
R413,170.5,-100.8,180.0,bottom
R414,179.8,-100.85,180.0,bottom
R501,178.43,-112.75,0.0,bottom
R502,174.0,-118.02,90.0,bottom
R503,173.9,-112.47,90.0,bottom
R504,171.5,-114.45,180.0,bottom
R505,171.5,-115.45,180.0,bottom
R510,139.675,-97.55,-90.0,bottom
R511,131.2,-93.0,90.0,bottom
R512,130.5,-93.0,90.0,bottom
S110,103.8,-105.3,90.0,bottom
S120,187.65,-105.3,-90.0,bottom
U200,119.975,-116.8,0.0,bottom
U300,124.0,-95.0,-90.0,bottom
U400,148.0,-95.0,-90.0,bottom
U402,167.75,-108.65,0.0,bottom
U410,175.0,-101.1,180.0,bottom
U500,176.1,-114.95,-90.0,bottom
U510,135.4,-97.575,0.0,bottom
U520,135.4,-92.675,180.0,bottom
U530,162.25,-112.825,180.0,bottom
Y410,178.9,-102.8,90.0,bottom
