 Decoded Protocol Result;;;;
Setup Write to [0x38] + NAK;Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK
0x00 + NAK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x12 + NAK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0xFE + ACK;0x4C + ACK;0x4C + ACK;0x4C + ACK;0x4C + ACK
Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK;Setup Write to [0x38] + ACK
0x00 + ACK;0x40 + ACK;0x40 + ACK;0x40 + ACK;0x40 + ACK
0xE0 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
Setup Write to [0x38] + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0xB9 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
Setup Write to [0x38] + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x80 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0xA8 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x80 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x46 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
Setup Write to [0x38] + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0xD4 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
Setup Write to [0x38] + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x11 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
Setup Write to [0x38] + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x35 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
Setup Write to [0x38] + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0xC8 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
Setup Write to [0x38] + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x14 + ACK;0x68 + ACK;0x68 + ACK;0x68 + ACK;0x68 + ACK
Setup Write to [0x38] + ACK;0x08 + ACK;0x08 + ACK;0x08 + ACK;0x08 + ACK
0x00 + ACK;0x1C + ACK;0x1C + ACK;0x1C + ACK;0x1C + ACK
0x00 + ACK;0xA0 + ACK;0xA0 + ACK;0xA0 + ACK;0xA0 + ACK
Setup Write to [0x38] + ACK;0xC3 + ACK;0xC3 + ACK;0xC3 + ACK;0xC3 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x4C + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
Setup Write to [0x38] + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x40 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x00 + ACK;0xA1 + ACK;0xA1 + ACK;0xE1 + ACK;0xE1 + ACK
0x00 + ACK;0xC1 + ACK;0xC1 + ACK;0xC7 + ACK;0xC7 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0xC1 + ACK;0xC1 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0xA0 + ACK;0xA0 + ACK
0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0x00 + ACK;0x08 + ACK;0x08 + ACK;0x08 + ACK;0x08 + ACK
