x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
-1.80000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+3.29685928300E+00
-1.75000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+3.29685928300E+00
-1.70000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+3.29685928300E+00
-1.65000E-06,-226.13059729E-03,+15.07543027E-03,+14.89447241649E+00,+3.31695978530E+00
-1.60000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+3.29685928300E+00
-1.55000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+3.29685928300E+00
-1.50000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+3.33706028759E+00
-1.45000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+3.29685928300E+00
-1.40000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+3.31695978530E+00
-1.35000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+3.29685928300E+00
-1.30000E-06,-105.52758351E-03,+55.27643487E-03,+14.89447241649E+00,+3.29685928300E+00
-1.25000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+3.29685928300E+00
-1.20000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+3.29685928300E+00
-1.15000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+3.29685928300E+00
-1.10000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+3.33706028759E+00
-1.05000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+3.29685928300E+00
-1.00000E-06,-65.32657892E-03,-65.32657892E-03,+14.89447241649E+00,+3.29685928300E+00
-950.00E-09,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+3.29685928300E+00
