x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
-5.1600E-03,,,,
-5.1500E-03,-140.7035E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-5.1400E-03,-145.7286E-03,-2.5125E-03,+14.8944724E+00,+3.3282663E+00
-5.1300E-03,-145.7286E-03,+90.4523E-03,+14.8944724E+00,+3.3370603E+00
-5.1200E-03,-87.9396E-03,-65.3266E-03,+14.8944724E+00,+3.3081658E+00
-5.1100E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-5.1000E-03,-82.9145E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-5.0900E-03,-145.7286E-03,-62.8140E-03,+14.8944724E+00,+3.3370603E+00
-5.0800E-03,-87.9396E-03,-7.5376E-03,+14.8944724E+00,+3.2968593E+00
-5.0700E-03,-103.0150E-03,-27.6381E-03,+14.8944724E+00,+3.3157035E+00
-5.0600E-03,-65.3266E-03,+15.0754E-03,+14.8944724E+00,+3.3056533E+00
-5.0500E-03,-143.2160E-03,-62.8140E-03,+14.8944724E+00,+3.2968593E+00
-5.0400E-03,-145.7286E-03,-7.5376E-03,+14.8944724E+00,+3.2679648E+00
-5.0300E-03,-108.0401E-03,+15.0754E-03,+14.8944724E+00,+3.3157035E+00
-5.0200E-03,-82.9145E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-5.0100E-03,-70.3517E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-5.0000E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3257538E+00
-4.9900E-03,-108.0401E-03,-22.6130E-03,+14.8944724E+00,+3.3370603E+00
-4.9800E-03,-128.1406E-03,-2.5125E-03,+14.8944724E+00,+3.3282663E+00
-4.9700E-03,-145.7286E-03,-67.8391E-03,+14.8944724E+00,+3.2968593E+00
-4.9600E-03,-145.7286E-03,-42.7135E-03,+14.8944724E+00,+3.3081658E+00
-4.9500E-03,-183.4170E-03,-22.6130E-03,+14.8944724E+00,+3.2780151E+00
-4.9400E-03,-65.3266E-03,-82.9145E-03,+14.8944724E+00,+3.3056533E+00
-4.9300E-03,-67.8391E-03,-65.3266E-03,+14.8944724E+00,+3.2981156E+00
-4.9200E-03,-65.3266E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-4.9100E-03,-108.0401E-03,-22.6130E-03,+14.8944724E+00,+3.2968593E+00
-4.9000E-03,-128.1406E-03,-65.3266E-03,+14.8944724E+00,+3.3282663E+00
-4.8900E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-4.8800E-03,-65.3266E-03,-123.1155E-03,+14.8944724E+00,+3.3370603E+00
-4.8700E-03,-145.7286E-03,-60.3015E-03,+14.8944724E+00,+3.2968593E+00
-4.8600E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.3282663E+00
-4.8500E-03,-145.7286E-03,-67.8391E-03,+14.8944724E+00,+3.2968593E+00
-4.8400E-03,-65.3266E-03,-100.5025E-03,+14.8944724E+00,+3.3257538E+00
-4.8300E-03,-103.0150E-03,-65.3266E-03,+14.8944724E+00,+3.3182161E+00
-4.8200E-03,-128.1406E-03,+15.0754E-03,+14.8944724E+00,+3.3056533E+00
-4.8100E-03,-143.2160E-03,-62.8140E-03,+14.8944724E+00,+3.3358040E+00
-4.8000E-03,-203.5175E-03,-7.5376E-03,+14.8944724E+00,+3.3081658E+00
-4.7900E-03,-188.4422E-03,-27.6381E-03,+14.8944724E+00,+3.3370603E+00
-4.7800E-03,-145.7286E-03,-20.1004E-03,+14.8944724E+00,+3.3370603E+00
-4.7700E-03,-145.7286E-03,+12.5629E-03,+14.8944724E+00,+3.2968593E+00
-4.7600E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-4.7500E-03,-65.3266E-03,-22.6130E-03,+14.8944724E+00,+3.2968593E+00
-4.7400E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.3056533E+00
-4.7300E-03,-145.7286E-03,+10.0503E-03,+14.8944724E+00,+3.2981156E+00
-4.7200E-03,-123.1155E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-4.7100E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-4.7000E-03,-128.1406E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-4.6900E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-4.6800E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
